hour,t_outdoor
1,-2.715458333
2,-2.715458333
3,-3.33975
4,-3.33975
5,-3.33975
6,-3.584791667
7,-3.584791667
8,-3.584791667
9,-2.1375
10,-2.1375
11,-2.1375
12,-0.445791667
13,-0.445791667
14,-0.445791667
15,0.084375
16,0.084375
17,0.084375
18,0.505666667
19,0.505666667
20,0.505666667
21,0.769958333
22,0.769958333
23,0.769958333
24,-0.316416667
25,-0.316416667
26,-0.316416667
27,-2.244083333
28,-2.244083333
29,-2.244083333
30,-3.989333333
31,-3.989333333
32,-3.989333333
33,-3.886625
34,-3.886625
35,-3.886625
36,-3.167833333
37,-3.167833333
38,-3.167833333
39,-3.840208333
40,-3.840208333
41,-3.840208333
42,-3.831333333
43,-3.831333333
44,-3.831333333
45,-2.767583333
46,-2.767583333
47,-2.767583333
48,-0.933583333
49,-0.933583333
50,-0.933583333
51,1.037
52,1.037
53,1.037
54,2.184166667
55,2.184166667
56,2.184166667
57,3.468875
58,3.468875
59,3.468875
60,4.447791667
61,4.447791667
62,4.447791667
63,3.622208333
64,3.622208333
65,3.622208333
66,2.54575
67,2.54575
68,2.54575
69,1.697458333
70,1.697458333
71,1.697458333
72,0.946791667
73,0.946791667
74,0.946791667
75,0.728791667
76,0.728791667
77,0.728791667
78,0.334
79,0.334
80,0.334
81,1.249208333
82,1.249208333
83,1.249208333
84,1.78575
85,1.78575
86,1.78575
87,0.51275
88,0.51275
89,0.51275
90,-0.869333333
91,-0.869333333
92,-0.869333333
93,-2.058875
94,-2.058875
95,-2.058875
96,-2.934
97,-2.934
98,-2.934
99,-3.81625
100,-3.81625
101,-3.81625
102,-4.657458333
103,-4.657458333
104,-4.657458333
105,-3.156375
106,-3.156375
107,-3.156375
108,-1.046583333
109,-1.046583333
110,-1.046583333
111,-1.612208333
112,-1.612208333
113,-1.612208333
114,-1.901333333
115,-1.901333333
116,-1.901333333
117,-1.269791667
118,-1.269791667
119,-1.269791667
120,-1.206125
121,-1.206125
122,-1.206125
123,-1.35275
124,-1.35275
125,-1.35275
126,-1.432625
127,-1.432625
128,-1.432625
129,-0.485625
130,-0.485625
131,-0.485625
132,0.785791667
133,0.785791667
134,0.785791667
135,-0.222583333
136,-0.222583333
137,-0.222583333
138,-1.243375
139,-1.243375
140,-1.243375
141,-2.10125
142,-2.10125
143,-2.10125
144,-2.777583333
145,-2.777583333
146,-2.777583333
147,-3.222083333
148,-3.222083333
149,-3.222083333
150,-3.676916667
151,-3.676916667
152,-3.676916667
153,-2.728375
154,-2.728375
155,-2.728375
156,-1.840291667
157,-1.840291667
158,-1.840291667
159,-2.539125
160,-2.539125
161,-2.539125
162,-3.251541667
163,-3.251541667
164,-3.251541667
165,-3.911541667
166,-3.911541667
167,-3.911541667
168,-4.519375
169,-4.519375
170,-4.519375
171,-4.651916667
172,-4.651916667
173,-4.651916667
174,-4.283625
175,-4.283625
176,-4.283625
177,-2.452583333
178,-2.452583333
179,-2.452583333
180,-0.412541667
181,-0.412541667
182,-0.412541667
183,-1.234541667
184,-1.234541667
185,-1.234541667
186,-1.734583333
187,-1.734583333
188,-1.734583333
189,-1.258791667
190,-1.258791667
191,-1.258791667
192,-0.5545
193,-0.5545
194,-0.5545
195,0.740166667
196,0.740166667
197,0.740166667
198,2.480333333
199,2.480333333
200,2.480333333
201,4.727333333
202,4.727333333
203,4.727333333
204,6.331208333
205,6.331208333
206,6.331208333
207,6.721708333
208,6.721708333
209,6.721708333
210,6.512041667
211,6.512041667
212,6.512041667
213,5.949
214,5.949
215,5.949
216,5.278791667
217,5.278791667
218,5.278791667
219,4.035166667
220,4.035166667
221,4.035166667
222,2.506333333
223,2.506333333
224,2.506333333
225,0.441458333
226,0.441458333
227,0.441458333
228,-1.333291667
229,-1.333291667
230,-1.333291667
231,-3.116291667
232,-3.116291667
233,-3.116291667
234,-4.591791667
235,-4.591791667
236,-4.591791667
237,-5.642041667
238,-5.642041667
239,-5.642041667
240,-6.597708333
241,-6.597708333
242,-6.597708333
243,-7.478916667
244,-7.478916667
245,-7.478916667
246,-8.171625
247,-8.171625
248,-8.171625
249,-7.555458333
250,-7.555458333
251,-7.555458333
252,-6.441666667
253,-6.441666667
254,-6.441666667
255,-7.29375
256,-7.29375
257,-7.29375
258,-8.542833333
259,-8.542833333
260,-8.542833333
261,-9.388958333
262,-9.388958333
263,-9.388958333
264,-9.810958333
265,-9.810958333
266,-9.810958333
267,-9.620041667
268,-9.620041667
269,-9.620041667
270,-8.886166667
271,-8.886166667
272,-8.886166667
273,-5.43075
274,-5.43075
275,-5.43075
276,-1.859416667
277,-1.859416667
278,-1.859416667
279,-0.863958333
280,-0.863958333
281,-0.863958333
282,0.18325
283,0.18325
284,0.18325
285,1.298166667
286,1.298166667
287,1.298166667
288,2.140416667
289,2.140416667
290,2.140416667
291,2.38325
292,2.38325
293,2.38325
294,1.788375
295,1.788375
296,1.788375
297,2.169916667
298,2.169916667
299,2.169916667
300,2.521458333
301,2.521458333
302,2.521458333
303,1.6515
304,1.6515
305,1.6515
306,0.92475
307,0.92475
308,0.92475
309,0.865958333
310,0.865958333
311,0.865958333
312,0.979333333
313,0.979333333
314,0.979333333
315,1.078958333
316,1.078958333
317,1.078958333
318,0.55925
319,0.55925
320,0.55925
321,2.130625
322,2.130625
323,2.130625
324,4.021625
325,4.021625
326,4.021625
327,3.702833333
328,3.702833333
329,3.702833333
330,3.285541667
331,3.285541667
332,3.285541667
333,2.938041667
334,2.938041667
335,2.938041667
336,2.517583333
337,2.517583333
338,2.517583333
339,2.323958333
340,2.323958333
341,2.323958333
342,2.387666667
343,2.387666667
344,2.387666667
345,4.227833333
346,4.227833333
347,4.227833333
348,6.045708333
349,6.045708333
350,6.045708333
351,5.145458333
352,5.145458333
353,5.145458333
354,4.278083333
355,4.278083333
356,4.278083333
357,3.857583333
358,3.857583333
359,3.857583333
360,3.935291667
361,3.935291667
362,3.935291667
363,3.8655
364,3.8655
365,3.8655
366,2.762791667
367,2.762791667
368,2.762791667
369,2.143541667
370,2.143541667
371,2.143541667
372,1.959666667
373,1.959666667
374,1.959666667
375,0.367208333
376,0.367208333
377,0.367208333
378,-1.255833333
379,-1.255833333
380,-1.255833333
381,-2.468291667
382,-2.468291667
383,-2.468291667
384,-2.754291667
385,-2.754291667
386,-2.754291667
387,-2.162291667
388,-2.162291667
389,-2.162291667
390,-0.947833333
391,-0.947833333
392,-0.947833333
393,1.152916667
394,1.152916667
395,1.152916667
396,2.682
397,2.682
398,2.682
399,2.060208333
400,2.060208333
401,2.060208333
402,0.872166667
403,0.872166667
404,0.872166667
405,-0.054333333
406,-0.054333333
407,-0.054333333
408,-0.649291667
409,-0.649291667
410,-0.649291667
411,-1.567625
412,-1.567625
413,-1.567625
414,-2.706541667
415,-2.706541667
416,-2.706541667
417,-3.011125
418,-3.011125
419,-3.011125
420,-2.972166667
421,-2.972166667
422,-2.972166667
423,-3.907416667
424,-3.907416667
425,-3.907416667
426,-4.91
427,-4.91
428,-4.91
429,-5.77975
430,-5.77975
431,-5.77975
432,-6.547791667
433,-6.547791667
434,-6.547791667
435,-6.940875
436,-6.940875
437,-6.940875
438,-7.148125
439,-7.148125
440,-7.148125
441,-6.079583333
442,-6.079583333
443,-6.079583333
444,-4.744625
445,-4.744625
446,-4.744625
447,-4.62275
448,-4.62275
449,-4.62275
450,-4.9245
451,-4.9245
452,-4.9245
453,-4.7805
454,-4.7805
455,-4.7805
456,-4.7305
457,-4.7305
458,-4.7305
459,-4.352291667
460,-4.352291667
461,-4.352291667
462,-3.552541667
463,-3.552541667
464,-3.552541667
465,-2.055958333
466,-2.055958333
467,-2.055958333
468,-0.728166667
469,-0.728166667
470,-0.728166667
471,-0.769708333
472,-0.769708333
473,-0.769708333
474,-1.1095
475,-1.1095
476,-1.1095
477,-1.554541667
478,-1.554541667
479,-1.554541667
480,-2.058958333
481,-2.058958333
482,-2.058958333
483,-2.646458333
484,-2.646458333
485,-2.646458333
486,-3.29575
487,-3.29575
488,-3.29575
489,-3.269666667
490,-3.269666667
491,-3.269666667
492,-3.241833333
493,-3.241833333
494,-3.241833333
495,-3.85875
496,-3.85875
497,-3.85875
498,-4.517666667
499,-4.517666667
500,-4.517666667
501,-5.110625
502,-5.110625
503,-5.110625
504,-5.773708333
505,-5.773708333
506,-5.773708333
507,-6.708375
508,-6.708375
509,-6.708375
510,-7.682041667
511,-7.682041667
512,-7.682041667
513,-6.784708333
514,-6.784708333
515,-6.784708333
516,-5.009833333
517,-5.009833333
518,-5.009833333
519,-5.361125
520,-5.361125
521,-5.361125
522,-6.250916667
523,-6.250916667
524,-6.250916667
525,-6.092791667
526,-6.092791667
527,-6.092791667
528,-5.397666667
529,-5.397666667
530,-5.397666667
531,-4.567875
532,-4.567875
533,-4.567875
534,-3.635416667
535,-3.635416667
536,-3.635416667
537,-0.905375
538,-0.905375
539,-0.905375
540,1.379833333
541,1.379833333
542,1.379833333
543,1.318291667
544,1.318291667
545,1.318291667
546,0.984625
547,0.984625
548,0.984625
549,0.932416667
550,0.932416667
551,0.932416667
552,1.254875
553,1.254875
554,1.254875
555,1.569333333
556,1.569333333
557,1.569333333
558,1.892958333
559,1.892958333
560,1.892958333
561,2.390125
562,2.390125
563,2.390125
564,2.902125
565,2.902125
566,2.902125
567,2.531083333
568,2.531083333
569,2.531083333
570,2.269791667
571,2.269791667
572,2.269791667
